,Text,Emotion
109815,جريدة وسخة,ANGER
109847,الواد من بعد ما قال امسك نعجة البت اتخرست,ANGER
109849,ولاد الراقصات والعاهرات أنصار العرص وفي زمن العرص بقي لهم قيمة,ANGER
109884,اهو الناس المتناكة إلى زيك هى إلى ضيعتنا وإلى يدور عليك يلاقيك أبوك هو العرص,ANGER
109906,مش حشتمك عشان انت ابن وسخه,ANGER
109911,ايه ياصفوت بلاش تعرص علي بلحه,ANGER
109913,الشحات الوسخ اللي فاضحنا,ANGER
109938,حمرا يامعرصين الخسيسي,ANGER
109949,ماهو السيسي لو وحش مكنش زمانه سايب الاشكال الوسخه تشتمو وكان زمانهم متظبطين انما هو مبيبصش ع التفاهات بتاعتكم دي لانو لو بص هيقف ربنا معاك يا سيسي يا رئيسي,ANGER
109951,كل التعليقات زباله يا معرصين السيسي سيدنا وسيد اي حد وجزمته برقبه كل حيوان فيكم السيسي خط احمر بنعشق السيسي,ANGER
109955,كسمكم يا معرصين برخصه السيسي سيدكم,ANGER
110018,ياترى يامصر هتجيبيلي الفسبة اللي نفسي فيها ولا هتضحكو عليا,JOY
110032,أى حد معارض خروف أي حد يبطل ويعرص دا إلى وطنى,ANGER
110080,طبل يا جميل ع الساحه واتعرص كدا بالراحه,ANGER
110219,يعني مسلمين بس اللي بيعملوا ده عندك مسيحين اوسخ منهم بس عشان حكومه وصحف خايفه منهم بتكتم ع موضوع عشان مش يقولوا فتنه,ANGER
110231,لازم الصحفى يذوق الخبر بكلمة ازهرى علشان التفاعل بقى والسب والاساءة والحملة الممنهجة للتشوية تكتمل ع الازهر شعب اصلا تفكيره تحت علشان كده هنفضل تحت المخطيء يمثل نفسه ولا يمثل مكان عمله او بلده وكفاية اخبار منيلة وكان البلد مفيهاش غير قتل و اغتصاب وتحرش وخيانة بتزرعوا أفكار عند الأجيال ذى الزفت حاسبوا المخطيء ايه اللى هيستفاده القارىء يعنى م الاخبار دى اخبار الخيانة بتعود بالسلب عند ناس كتير يعنى بتكتسب خبرة من القرف ده وكذلك التحرش والاغتصاب مكناش بنسمع عن المسميات اللى تقرف دى ارتقوا شوية وانشروا شىء مفيد ينمى العقول ويزرع أفكار إيجابية للمتابع,DISGUST
110236,اة يادولة وسخة كلها ارهاااب زى الواد المعرص الى فووق دة,ANGER
110245,انا مش فاهم الناس اللي داخله تقول كلام عبيط وتعترض علي كلام الراجل دي ملة ابوهم ايه عالم ولاد وسخه صحيح,ANGER
110270,يعني مسيحين ملايكه دول فيهم اوسخ من كده بس الاعلام الزباله ده خايفه منهم عشان ميقولش فتنه كذا قسيس يغتصب اطفال وقسيس تاني ف اسيوط تم القبض عليه بيزني داخل الكنيسه خالينا سكتين احسن,ANGER
110304,انتو يا ولاد الوسخه عايزين تشوهوا الازهر يا كفره يا ولاد الكلب,ANGER
110312,يعني مسيحين ملايكه دول انجس منهم ف حاجه دي مش هتلاقي بس الاعلام العرص خايف منهم عشان يقولوا فتنه ده كذا قسيس اعتصب اطفال وقسيس تاني ف اسيوط تم قبض عليه هو بيزني ف كنيسه ياعم خالينا ساكتين احسن,ANGER
110313,ده اصلا اعلام ساويرس العرص عاوز يشوه صورت الازهر والاسلام والمسلمين بس ربنا ناصر دينه حتا قيام الساعه حتا لو كره الكافرين افعالوا ماشئتم برضوا ربنا هينصر دينه,ANGER
110318,اعدام يا ابن الوسخه,ANGER
110327,بمعهد ازهري يا ولاد الوسخه,ANGER
110334,اخباركم تقرف,DISGUST
110338,بلد معرصه اتقول ايه,ANGER
110367,ﻻ تنسبوا اﻻمور الوسخه ااتى تحدث من فرد للشعب عيب احنا مليون فهل الكل نسئ اليه غير معقول,ANGER
110369,ان جاءكم فاسق بنبأ فتبينو جريدة وسخة,ANGER
110387,ههههههه حملة علي الازهر وسخة ومفضوحة جدااااا,ANGER
110391,ازهري اكيد اخواني ابن كلب لازم الازهر يندف من الاشكال الوسخه ده,ANGER
110393,اشمعنة ازهرى ياعرص ياخوانى ياابن الكلب اشششششششششاعة ياحمار,ANGER
110435,ايه الصفحه الوسخه اللى بتهتم بالاغتصابات اهتموا بحاجه تفيدنا,ANGER
110436,اعدام لابن الوسخة الواطى المتخلف,ANGER
110446,يا ابن الكلب يا وسخ الحيوانات مش كده,ANGER
110495,ده لازم تشغلوا المخصايه للكلاب دي ياتبقوا بلد معرصه,ANGER
110517,ازهري انتم معايه ازهري ياصفحه وسخه اهم شي تشوية الازهر ياولاد الحرام ياكلاب,ANGER
110534,مش طبيعية الاخبار من النوع دة خالص انتوا جريدة وسخة,ANGER
110535,جريده وسخه وزباله ومضلله وديمن السافل ميخرجش منه الا السفاله كل وسائلك ضلال وكدب وتشويه انتوعصابة السيسي بتشوهو الدين وبتحربوه بكل الطرق القذره بتعتكم ربنا يولع فيكم,ANGER
110537,يامعرص يالي ناشر الخبر غير صحيح,ANGER
110538,جريدة وسخةةةة,ANGER
110539,حاجه تقرف احنا بقنا عايشين فين وسط حيوانات ولا القيامه دي علاماتها,DISGUST
110540,بطلو كدب وتزييف حرام عليكم ياولاد الوسخه شردتو البلد كل يوم اخبار زي وش امك فرجتو العالم عليان منكم لله,ANGER
110544,جريدة وسخه,ANGER
110578,العرص دا هقولك هو مين لما اشوفك,ANGER
110588,الأزهر الشريف برج اله المحترمين خط أحمر ياخرفان يامعرصين,ANGER
110598,شيئ مؤرف,DISGUST
110605,جريده وسخه وبتسعى لتشويه الازهر حمله ممنهجه ضد الازهر,ANGER
110609,يستاهل الولعه بجاز وسخ,ANGER
110610,ده ابن وسخه لازم والله يقصوه,ANGER
110655,جريده وسخه كل اخبارها قذره,ANGER
110680,والله سواء كان ازهرى ولا عادى فهوة حيوان ابن كلب وسخ,ANGER
110697,اخص كلب زباله تفووو اشكال وسخه,ANGER
110715,ياللا يا جريدة وسخة,ANGER
110752,ليه تخبو وشه الوسخ,ANGER
110792,طيب عامل اخفاء لوجهه ليه اذا كان هو وسخ انت اخفيت وشه ليه,ANGER
110797,ارحمونا بقه من اخباركم اللي تقرف دي,DISGUST
110803,بجد بقت حاجة تقرف ربنا ياخدهم,DISGUST
110807,يا ولاد الوسخه يا معرصين اخصائى ازهرى  هيستدرج الطفلتين طيب ازاى لبيته يا ولاد الوسخ,ANGER
110813,ومخبيين وشه ليه خايفين ع مشاعره هنفضل بلد معرصه لحد امته,ANGER
110827,ملعون أبو أشكالكم أشكال وسخه يارب إعدام علشان تكون عبره للأشكال الوسخه اللى زيك,ANGER
110994,ياولاد الكلب يا حراميه يالصوص ياحرامي ياوسخ,ANGER
111040,يا جريدة وسخه خربتوا عقول الناس,ANGER
111047,هو قميص يا ولاد الوسخه منكو لله,ANGER
111102,يعني جوز امهم وفي نفس الوقت عشيقها وبعدين هي الصفحه العرره دي ما ورهاش غير الاخبار الوسخه,ANGER
111110,فريق كاسر كسم عينك يافريق مرتضي ياولاد الوسخه مرحتوش ماتش المقاصه ليه ولا كنتو نايمين ياولاد المره,ANGER
111116,ياراجل يا وسخ برضو بواب قول عاااااااا,ANGER
111119,كسمين امك ياحسن ياابن العرص,ANGER
111139,اقولهم انتو ولاد وسخه,ANGER
111188,احب اقوله انتي اوسخ نادي ونادي حراميه وراقصين,ANGER
111189,ايضرب ولاد الوسخه بتوع بيب بيب اهلي,ANGER
111200,لم نفسك يابواااااب ياعرص,ANGER
111221,تربيه مرتضى يعنى تربيه وسخه,ANGER
111223,ع كسم العزبة اللي جابت أمك ياعرص,ANGER
111252,انت هتعرص انت وله زملكاوي وله نيله انت كداب وتمثل نفسك لان تاريخة معروف للناس كلها انهم ولاد حرام,ANGER
111272,اوسخ فريق,ANGER
111274,النادي الوسخ النادي النجس نادي الشرمطه,ANGER
111326,الصفحة مليانة من ولاد الوسخةة الزملكاوية يلا ما جمع إلا أما وفق زملكاوية سيساوية حش واعلف البهايم كسمك يا زمالك الأهلي فووووق يا ولاد زنوبة,ANGER
111364,نادى بيكسب بلحكام والاعلام واتحاد الكورة المعرس والاتحاد الافريقى وعيسى حياتو الاهلاوى الوسخ وضربات الجزاء الظالمة,ANGER
111435,اوسخ نادى,ANGER
111447,احب اقوله انو اوسخ نادي ومهما كان عمري م هتعرف بي فرقه اسمها الأهلي بتلعب بي شرف علشان لو لعبت بي شرف من غير مسعدا عمرها مهتاخد بطوله,ANGER
111520,البواب أشرف من المعرص والحرامى,ANGER
111578,طبعا عارفين فرقه مساجين لعيبه وسخه جمهوركوا معرصين,ANGER
111584,اوسخ نادى ف الكون,ANGER
111591,احب اقوله انك فريق زباله وتاريخك وسخ مبني علي ظلم وباطل واللي يشجعك زباله زيك زمالكاوي وافتخر,ANGER
111753,صوتي ياانشراح اللي جاي اوسخ من اللي راح,ANGER
111767,اه يا بلحه يا بن العرص,ANGER
111779,عاهرات العرص لالوم عليهم ياولاد الحرام المصفي لاخر قطرة اتفووا عليكم وع اللي مشغلكم كفرنا بكم وبالقواد اللي جابكم,ANGER
111883,افشخونا كمان وكمان يامعرصين,ANGER
111924,فين معرصين العرص,ANGER
111941,انتم انسان محترم كفايه ياولاد الوسخه,ANGER
111970,بصراحه أنا قلبى رفرف وهعيط من الفرحه روح يا بعيد ومترجعش تانى,SADNESS
112018,متخفوش الجي اوسخ,ANGER
112019,ياض يا بن الوسخة يا حكومة وسخة بنت وسخة انا مش عارف الشعب ساكت لية خلا ص قرفنا كان يوم اسود يوم مشفنا خلقة السيسي,ANGER
112055,أشكال وسخه,ANGER
112073,وسلملي على معرصين السيسي وقلهم اخباركو ايه,ANGER
112095,ده عاوز شخرة من اسكندرية الى أسوان بصوت عمر أديب مفيش اوسخ من كدة,ANGER
112098,كل البرامج اتقفلت يا شوية معرصين,ANGER
112133,بص انا عارف انها حكومه بنت وسخه ومفيش جديد علي المصلحه اللي بيحاولوا يعملوها,ANGER
112159,وطبعا دا قرار تمهيدي لدفع رسوم علي دخول الفيس بوك وتويتر علشان الشعب يخرس خالص مصر كدة هتبقي أوسخ من كوريا الشمالية ع أخر السنة دي,ANGER
112234,هو ده التقدم يامعرصين,ANGER
112252,يعني معرصين وقلنا ماشي البرامج كلها وقفت وانتو بس اللي بتقولو لا جريدة وسخه بالفطرة,ANGER
112275,ادم محمد واحد من شراميط العرص,ANGER
112276,الي هيصوت لحذاء مرسي مقابل العرص يدوس لايك,ANGER
112294,والجزيرتين يامعرصين والبلد اللي خربت والشباب ال مستقبلها ضاع ومفيش قدامهم ذره امل,ANGER
112296,بتكلمو شويه عبيد للعرص مالهمش اي قيمه ا شويه زباله الواحد لما يشوف الاشكال الوسخه دي يركنها علي جنب لحد ما عربيه الزباله تيجي تخدهم,ANGER
112301,معرصين السيسي اخجلنا صمودكم يا قرون,ANGER
112308,شوف اهو انتا نفس الحمار اللي بيشجع السيسي اتنين كلاب اولاد وسخه,ANGER
112315,ولا ده ولا ده اتنين اوسخ من بعض اخوان و سيساويه,ANGER
112325,ﻻﻻﻻﻻ هتكون بين مرسي والبطه ههههههههه وهههههههه عند أمك يامعرص ياخروف ماء ماء ماؤؤؤؤؤؤررررر,ANGER
112326,كسسسخت بلحة العرص ههههههه,ANGER
112328,مصري موسخ شحات كبير انا سعودي سيدكم ياشحتين,ANGER
112357,يا خروووف بلحة و عصابة العسكر اللصوص الخونة الانجاااس شعب مصر قال كلمته العرص و كلاب العسكر الانجااس تحت جزمته اقرأ جميع التعليقات علي البوست بالتفصيل يا خروووووف و كفاك هز ليتك,ANGER
112371,محمد شرف خليها تكلك يامعرص,ANGER
112400,مرحبا بعرص مصر,ANGER
112414,مش دول الا كانوا ماسحين الارض بعرص مصر بتاع الرز يا معرصين والله انتوا اوسخ من القحبه ويا شوية عاهرات,ANGER
112423,هلا هلا والله بالمعرص,ANGER
112434,يامعرصين ياكدابين ياولاد الكلب,ANGER
112448,يا صفحةةبنت وسخة كذابة داة مفيش سعودى إلا ومسمي السيسى بتاع الرز,ANGER
112449,المعرص يبغي رز ماعندي روز,ANGER
112472,المفروض يغيروا اسم الجريدة دى علشان يكون الاسم الجديد لايق بكمية التعريص والتطبيل الى بيقدموها لبلحة هو انتوا فاكرين يا جريدة وسخة ان بقى فية حد بيشترى الجريدة بتاعتكم الناس بتموت من الجوع والفقر وارتفاع الاسعار وانتوا شغالين تطبيل لواحد خائن وبائع ارضة تيران وصنافير مصرية يا ولاد العرص وها يجى يوم والشعب يرمى الخوف ورا ضهرة وننزل الشوارع بالملايين ونحاكم بلحة الكلب وكل نواب برلمان الاراجوزات,ANGER
112479,اه يا بهايم يا ولاد الوسخه خربتو البلد,ANGER
112485,هو ياما اعرص للبغل ده ياما ابقى اخوان مينفعش اقول انه مش عاجبنى مينفعش اعترض,ANGER
112488,انتي مره معرصه كسمك علي كسم المعرصين,ANGER
112503,ههههه متخافش لسه المعرصين مصحوش,ANGER
112509,بيغردوا فين يا معرصين,ANGER
112512,كذابين انتوا معرصين ولاد كلب بتعرصوا للسيسي,ANGER
112515,والله انتو جريده وموقع ابن وسخه,ANGER
112518,هههههههههههههههههههههههههههههههههههههه مرحب بالعرص,ANGER
112553,مرحبآ بعرصيص مصر,ANGER
112555,قصدك عزيزة انتوا بتشتغلوا نفسكم وبتكدبوا الكدبة وبتصدقوها احنا بنشحت ياولاد الوسخة,ANGER
112568,يهلا بعرص مصر ومرخص شراميطها,ANGER
112587,العيب علي اللي يبقي ساكت عن الحق ويعرص للظالم,ANGER
112594,انت اللي سبيت باين عليك من الناس الناقصه اللي بتشوف اخطاء الناس ومايشوف اخطاءه هقولك تاني روح راجع نفسك واطلع من دائرة مؤيدي العرص وللعلم العرص دي تعني الديوث يعني صفة مش سب شكلك حافظ مش فاهم,ANGER
112599,عندهم معرصين زييينا,ANGER
112607,عزيز مصر مره وحده طيب كملوها عليه السلام عزيز مصر كان بيدي الناس ويجهزهم عرصكم جاي ياخذ رز ومش حنديه,ANGER
112616,ههههههههه مرحبا بعرص مصر,ANGER
112623,هو العرص مش قال دول أشباه دول والله إن لم تستحي افعل ما شئت بس مافي رز الملك سلمان عارف العرص,ANGER
112624,الجان بنت الوسخه تعليق نفس الكلام لا وتلاقي من جنسيات مختلفه,ANGER
112626,مش معقول السعوديه فيها معرصين كمان,ANGER
112639,عزيز مصر مره واحده كسم التعريص عالصبح يا عالم وسخه,ANGER
112643,هو مين ده اللي عزيز مصر يا ولاد الوسخة يامعرصيين,ANGER
112662,يعنى العلام بتاعكم مش هيشتم السعوديه تانى والعرص بتاعكم مش عايزرزتانى,ANGER
112682,هو ده نشيد ياولاد الوسخه عصابه العسكر دى عصابه امك ياخوانى ياعرص ايه بغبغان بيرد زى اللى مربيه,ANGER
112686,والله ولا سعودكبير اوصغير يبغا اسيسي يوطي الراضي اسعوديه دخاين وعميل اسرايل كلب ووسخ ومعفن,ANGER
112697,هههههه مرحبا بكاسر شوكة المعرصين امثالكم,ANGER
112713,خربها العرص,ANGER
112721,قصدهم مرحبا بمعرص مصر الاول,ANGER
112727,دا بيؤلو مرحبا بعرص مصر,ANGER
112729,الخونه الانجاس خرفان وقردو وموزه وابنها حيولعو من الغيظ الاهي يولعو بجاز وسخ المصري الاصيل والجيش المصري العريق حيبقي تاج علي راسنا من فوق نحن السعوديه نعشق مصر جيشا وشعبا ورئيسا,ANGER
112732,يا وسخ انت عامل فيها سعودي و انت منوفي معفن,ANGER
112739,مرحبا بالمعرض المتسول اليهودي ابن الوسخه,ANGER
112747,والنعمة انتو اللي عايزين حد يكسر عينكو جريدة وسخة,ANGER
112781,هههههه هههههه هههههه اما انتو معرصين بشكل,ANGER
112782,جريده وسخه تفتقد الى الموضعيه,ANGER
112789,عرصيص مااسر,ANGER
112823,أكيد مش هيبعلهم جزيرتين مين يشهد للعرص,ANGER
112831,انتوا جريده وسخه يا ولاد الوسخه,ANGER
112832,يا معرصين يا ولاد الشرموطة عزيز ايه ده شحات وطالب مساعدات,ANGER
112837,ههههههه اكيد المرادي ايبيع مصر كلها العرص ابن العرص ده,ANGER
112840,عزيز مصر ايه ياشويه بقر دا انت صحفي حمار صحيح خليته عزيز مصر الزاي يعني هو كل الل بيعرص ويبيع بلده بقي اسمه عزيز مصر,ANGER
112846,انت بتألف يا ابن الوسخة دول بيكرهو السيسى,ANGER
112853,جريده وسخه زي مديره,ANGER
112868,مرحبا بالعرص,ANGER
112873,اخرسوا أنتم ياانجاس بلاش تطاولو علي أسيادكم عاشت مصر بجيشها وشعبها موتوا بغيظكم يأكلاب,ANGER
112903,قولولي المكان الي بتجيبوا منه الكلام ده يامعرصين,ANGER
112915,انتو موقع ابن مرة وسخة,ANGER
112920,مغردو المملكه ولا معرصو المملكه  هناك فرق,ANGER
112936,عزيز مصر هو السنوات العجاف بتيجى الاول ولا اى جريده وسخه صحيح,ANGER
112937,اللهم ان كان المعرصين يريدون بمصر شرا فااهلكهم وان كانوا يريدون بمصر خيرا فااهلكهم برضة عشان إللي عملوه فينا وفمصر مش شويه,ANGER
112988,ياعم ينعل ابوكو جريده وسخه هو ايه االي عزيز مصر حرام عليكو انته عملته الاه وبتعبدوه,ANGER
113015,كل ولاد الوسخه الانجاس اللقطاء أبناء جهاد النكاح ايتام البنا بيقولوا كدا ع الجيش طلع انك تحرس الحدود ياروح امك,ANGER
113045,عزيز مصر وما تشبيهكم الا جهلا منكم فما ذلك العرص الا مواليا لكفار يتبعهم,ANGER
113077,كلهم بيلعنوه العرص ابن العرص,ANGER
113081,الخبر دا بالتغريده مش اقل من واحد كان بيتقال للجد جده ياعرص,ANGER
113087,السعوديه مفيهاش معرصين,ANGER
113090,كسمكم كلكم يا خونة يا ولاد الوسخة ماتنساش تقلع اللباس ياسيسي وتديه لسلمان,ANGER
113101,السيسى العرص كلب اسراءيل اللذى خان رئيسه محمد مرسى وقتل الابرياء,ANGER
113127,جريده معرصه,ANGER
113142,مرحبا بالمعرص,ANGER
113294,اردوغان قاهر المعرصين السيسي نعل نتنياهو,ANGER
113305,لا بوصفه لامثالك بيجيب نتيجة فعالة مع المعرصين ع اهاليهم واسال استشير ولو حابب ادهنهولك انا بس ابقي اشطفها كويس عشان الريحة يا ننوس بتحب تتشم انت عارف اخد ع كدة,ANGER
113313,نسيتم تكتبو اردجان امال فين العرص,ANGER
113344,وعندنا مجلس كمان يصلاة الزين يصلاة الزين طب ورحمة طنط احلام كراويه منا مصدق نفسي م السعاده عانديك ابوكو مجلس وحكومه ولاد مره وسخه خخخخخخخخخختفوووووووو,ANGER
113348,البرلمان دا ابن وسخه جه علي جثث الابرياء علشان كده بيفشخ اللي انتخبوه,ANGER
113387,اللى يحضر الجن وميعرفش يصرفه يعرف ان الجن هيقرفه الالمانى,DISGUST
113393,متشكره لنصيحه,JOY
113481,اللي يحضر الجن وميعرفش يصرفه يعرف ان الجن هيقرفه,DISGUST
113511,يراجل استحي على سنك تعرص وانت في السن ده بقيت ايه للمعرصين الي هم في سن المراهقة,ANGER
113516,كسم اللجان المعرصه,ANGER
113519,اهو دا خروف ومعرص ههههه,ANGER
113544,لابد من ابادة جماعية للاخوان ولاد الوسخة,ANGER
113556,اللهم قوي ايمان ميتين ابوكوا يا ولاد الوسخة,ANGER
113603,يلا ياض يبتاع الجزائر يمعرص ملكش فيه,ANGER
113630,شكرا يا اقرع يا اوزعه المهم لو عملت ايه يا ابن الوسخه علشان تحسن صورتك برده هتفضل العرص,ANGER
113674,العرص كل مايلاقيش حاحه يعملها يجيب فتاه العربيه كسم جو الخمسينات اللي المخابرات عايشه فيه دا,ANGER
113705,شو اعلامى وخلاص طيب الملايين اللى ذى البت دي عملتهم ايه ياحراميه ياولاد الوسخه,ANGER
113793,لا صوت بعلو فوق صوت معركة العرص بلحة مع الارهاب الارهاب المحتمل اللي خلاه بلحة حقيقي,ANGER
113828,العرص المرتد بلحة و خرفان العسكر مرعوبين من الفيسبوك لانه المنغذ الوحيد للتعبير بحرية و باقي المنافذ من صحافة و تليفزيون اذرع اعلامية ماجورة للعرص ة خرفاان عسكر الردة الانجااس,ANGER
113868,النائب والله موت من الضحك اكيد تقصدوا عسكر القصر وان شالله العسكر حا ينشااو ازي يعني وصحبه حي يرزق وليست مصري لكي يسلبوا منه ويستولوا عليه باسم التحفاظات او التاميمات مثلا الم يكفيهم تكميم الأفواه والأنفاس للاعلاميين الاحرار وابقوا المعرصين المخناثين والعهرات لطبل والزمر والتدليس الفيس بوك الان اصبح سرطان بيفرتك فيهم وفي قوزعة الارض بليه صبي ترامب,ANGER
113909,مش عايز امه المصري ده هيبقي معفن ومهنج وغالي كمان وهنضطر نشوف فيها لميس وعمر وموسي وكل المعرصين الايك هيبقي علي اشكلهم,ANGER
113913,نسيتي عبده موته كمان حاجه تقرف,DISGUST
113917,هههههههه بالله عليكم كل المصايب اللى بتحصل بمصر والجرايم اللى ذادت والاغتصاب اللى بقا عادى والمخدرات اللى بقيت زى بيع اللبان والسرقه اللى ف كل مكان وبيع اعضاء الاطفال وخطفهم من امام بيتهم كل يوم والتشرد والتسول والرشوه وغير وغيرو وغيرو كل هذااااا الظواهر اللى موجوده ومن شانكم تغير القاونين وربحين للفيس بوك تسترزقو عليه والله فعلا مجلس شعب ونواب فاشلين وعايزين الحرق بجاز اوسخ من الوسخه العيب مو عليكم العيب ع اللى راكبكم الكرسى يا شوية بلح عليه دبان معفن زيكم,ANGER
113965,والله انتو شعب اهبل تبقوا ترقصوا و تطبلو للعرص كويس اشربو بقا جهله,ANGER
114009,ناس بقر فين الاسعار والاكل ياعرص,ANGER
114014,وبلحه يبقي ادمن ويعمل اد للمعرصين وبلوك للمعارضه,ANGER
114015,مصري مين يمعرص,ANGER
114124,دي فشخت العرص بلحة واخدت براءة غصبا عن عين ابوه وبطيارة حربية امريكية كمان ايه رايك,ANGER
114150,ولما هي خاينة سبتوها لية  وبتاخدوا معونة سنوية وسلاح من امريكا لية القيادة الباسلة بنت الوسخة نايمة علي بطنها لامريكا اللي بتخرب مصر لية  كسم اللي ميكسمش كتير اتفووووووووووووووووووووووووووووووووووووووووووووووووو,ANGER
114172,لاء يا ابن الخروف انت وهو اللي حيشتم ديك امك انت وهو مش متخلف الوسخ والمتخلف اللي يشجع غريب علي بلدة,ANGER
114173,يلا ياشويه زباله ياحثاله يااولاد العرص اتفووووو,ANGER
114175,كسمك انت وبلحه العرص,ANGER
114177,يا خرووووف امة اسلامية واحدة ضد العرص المرتد و اهله و عشيرته من العسكر الانجااس و اولياءهم من اليهود و النصاري,ANGER
114224,العرص افرج عنها بامر من ترامب,ANGER
114229,يلا ياابن المره الوسخه ياعرص اتفووو,ANGER
114235,والعرص ابن المتناكة السيسي واخد علي قفاه,ANGER
114299,بلد معرصه واللي ليه ضهر مينضربش علي بطنه الغلبان هو اللي دايما متهان,ANGER
114316,كسم السيسي العرص مصر ام الدنيا وهتبقي اد امك,ANGER
114317,طبعا بعد ما علمت عليكم وخدة افراج غصب عنكم يا معرصين,ANGER
114355,هههههه اسال المعرص مين ايه حجازي,ANGER
114381,طبعا ترامب قال للدكر بتاعكم طلع ايه حجازي الدكر بتاعكم طاطي وجاب ورا وطلعها وسلملي علي قضاة العرص,ANGER
114403,احنا دوله بنت وسخه فقيرها,ANGER
114407,مش تلاجه العرص دي,ANGER
114444,اهو انت أبوك عز النسوان اللي جاب عيل شبه النسوان زيك كده بتمني وبكل رجولة ادخل اجيبك قدامه لابس فستان ده كبيرك يا بتاع المصروف يا إبن الكلب يا وسخ احمد ابن عزالرجال,ANGER
114534,كل مقدرات البلد لحماية العرص وكلابه طيب مفيش مصانع مستشفيات مدارس جامعات يا عم كبر مخك,ANGER
114601,كويس انك عارف عيب الحكومه المعرصه,ANGER
114605,طب أحنا نعمل أااايه يا جريده يا وسخه انشرو حاجه عدله,ANGER
114625,يا معرصين ساكسونية الأذرع الاعلاميه للمتناكين الخونة القتله سفاحقين ارهابيين,ANGER
114632,مش اليهود دول خيلان العرص وهما اللي مساندينه,ANGER
114648,وهو احنا قطعنا علاقتنا اصلا بقطر بنت الوسخه يا اهبل,ANGER
114666,محمد شرف كسم اللي ما يقولك كووووووسمك يا ابن اللبوه يا عرصجي,ANGER
114690,افضلوا انتوا كده اشتموا ف المعرصين وطفشوهم وبعدين ارجعوا عيطوا وقولوا مفيش معرصين نفشخهم,ANGER
114693,قطر واالخرفان ولاد وسخه كذبين وانت ياعرص شفتهم بيموتوا الناس ياارهابي ياعرص قطر,ANGER
114697,اشرف عطيه وشك للحيط وطيزك ليا كسمك علي كسم قطر علي كسم السيسي العرص علي كسم ابوك الخووووول,ANGER
114702,يلا يا كلاب يا ولاد الرقاصه يا ولاد الششششششششششراميط كسمكم علي كسم عرصكم الاهبل جوز انتصااار,ANGER
114722,هم دول ولاد الوسخه,ANGER
114727,خير اجناد العرص ههههه,ANGER
114751,انجااس الارض اللى بيقتلوا الابرياء العزل يا كدابين يا معرصين حلال فيكم الدواعش يا ولاد العرص,ANGER
114762,كلاب قودين خولات معرصين,ANGER
114773,ولاد وسخه ياابن موز اصغر عسكري بالقوات المسلحه المصري انظف من امك موزه,ANGER
114778,هو انتم عمى مش باشوفوا التعليقات يا لاولاد الوسخة,ANGER
114779,ينعل ابو قطر واسرائيل وتركيا والخرفان بالجزمة الوسخة ده مقامهم,ANGER
114787,امير قطر العرص والاخوان المسيحيين,ANGER
114796,العرص السيسي مرعوب يا اولاد اللبوة يا قتلة يا خونة يا عملاء اليهود,ANGER
114807,حارقين امك يا خروف لاجيء ابن وسخه سافل,ANGER
114808,انت وكل خرفاااااااان بديعه وقردوخان وابن موززززززززززه اوسخ واحقر بني البشر,ANGER
114811,قطر بنت الوسخه حليفه اسرائيل ضد مصر,ANGER
114838,انتوا ولاد وسخه انجاس داهيه تاخدكم,ANGER
114839,مثل عربى قديم يقول عتاب الندل اجتنابه,ANGER
114846,كسمكم يا عاهرات النظام يا ولاد الوسخه,ANGER
114883,عشق وانين انتي معرصة بزيادة,ANGER
114894,متزعلش المتحدث العسكري شالها بسرعة من صفحتة,SADNESS
114902,احترم نفسك يا أوسخ من الوساخة ياتربية أمك ياعرص,ANGER
114907,شيلو علم اسرائيل يا جريدة يا وسخة احسن يخرب السلام الدافئ,ANGER
114961,طب مانقطع العلاقات مع اسرائيل مادام ولاد وسخة كدة ولا اضعف الايمان مانبعتش سامح شكرى لنتينياهو يزوره فبيته ويتعشى معاه,ANGER
114972,اديلو عشان يتوب المعرص بتاع العرص,ANGER
114979,قطر بنت الوسخة,ANGER
114981,اسمهم خير أجناد العرص,ANGER
114986,الفديو حقيقي يا ولاد الوسخة,ANGER
115021,يامعرصين يافشله,ANGER
115036,بعد متابعة التعليقات سؤال يتبادر الى ذهني مين بجد بيأيد العرص ابن العرص السيسي غير اللجان وشوية المرتزقة,ANGER
115037,بص هما حاجتين ولاد المتناكه بتوع لإخوان وزي ما حضرتك قولت ولاد العرص بتوع السيسي انته بقا تبع مين,ANGER
115038,مفيش غيرهم المعرصين,ANGER
115052,اتكلم مع حاوى ومتكلمش مع سيساوى لو فهم البعير سيظل اتباع العرص حمير,ANGER
115055,تصدقوا انتوا التلاتة معرصين,ANGER
115068,عالم وسخة,ANGER
115088,انتو معرصين,ANGER
115099,هههههههههههههه يلا يا صفحه معرصه وسخه,ANGER
115102,يعني مفبركه والمتحدث باسم الجيش عرض صور منها ع صفحته ع اثاث ان دول ارهابين الصراحه انا مش مصدق حكاية فبركة قطر دي لا تكذبه ع الشعب الغلبان ده اسرائيل الوسخه دي مستحيل تكدب ع شعبها عشان كده هنصدق الفديو,ANGER
115110,ايد وسخه عايزه الحرق,ANGER
115111,الفيديو حقيقي يا معرصين,ANGER
115115,جيش العرص اتفضح هاتلمو فضيحتكم ازاي,ANGER
115116,ههههه لبسها للاخوان فضحتكم عالميه ياجريده معرصه,ANGER
115133,قطر بنت الوسخه,ANGER
